YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1951,6.38,6.97,10.00,15.46,20.62,25.67,28.04,26.86,24.84,18.96,12.23,7.16,6.87,15.36,26.86,18.68,16.94
1952,5.50,8.47,11.80,15.88,21.13,25.40,27.82,26.21,23.31,17.76,11.88,7.83,7.04,16.27,26.48,17.65,16.86
1953,7.49,8.51,10.56,15.87,21.04,25.85,27.78,26.53,23.92,18.97,12.34,6.49,7.94,15.82,26.72,18.41,17.22
1954,8.06,7.24,11.27,15.42,21.91,25.99,999.90,999.90,999.90,999.90,999.90,999.90,7.26,16.20,999.90,999.90,999.90
1955,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,17.26,13.26,7.80,999.90,999.90,999.90,18.23,999.90
1956,3.49,8.88,11.68,15.35,21.65,26.94,28.69,25.94,23.61,17.46,11.58,7.45,6.72,16.23,27.19,17.55,16.92
1957,4.41,6.19,10.81,13.12,18.52,25.01,27.58,26.26,23.20,18.86,11.46,7.46,6.02,14.15,26.28,17.84,16.07
1958,6.40,7.62,13.06,17.99,22.02,25.33,28.51,27.83,24.18,18.22,10.74,7.58,7.16,17.69,27.22,17.71,17.45
1959,4.92,5.07,11.42,18.24,21.50,26.40,27.95,29.15,25.90,19.03,11.13,6.52,5.86,17.05,27.83,18.69,17.36
1960,7.72,10.78,9.51,14.74,21.52,26.63,28.52,27.67,23.84,17.74,12.27,6.96,8.34,15.26,27.61,17.95,17.29
1961,6.16,7.30,10.91,13.72,21.77,25.79,29.19,26.88,25.09,17.98,11.30,8.63,6.81,15.47,27.29,18.12,16.92
1962,6.49,10.17,12.70,15.01,21.15,26.07,27.90,26.21,22.75,18.25,10.85,8.21,8.43,16.29,26.73,17.28,17.18
1963,7.80,10.03,11.38,16.22,18.79,26.73,29.07,28.54,23.54,18.72,11.70,6.03,8.68,15.46,28.11,17.99,17.56
1964,2.23,7.76,13.24,15.93,22.06,26.09,29.49,28.43,23.43,16.10,11.03,3.98,5.34,17.08,28.00,16.85,16.82
1965,3.79,9.10,12.86,14.26,22.29,25.66,27.47,26.16,23.80,18.79,12.48,6.86,5.62,16.47,26.43,18.36,16.72
1966,9.54,8.76,11.91,16.28,22.76,26.44,27.75,27.67,23.73,18.31,11.17,7.57,8.39,16.98,27.29,17.74,17.60
1967,6.11,7.18,9.98,13.36,21.16,24.76,29.59,27.66,23.79,18.51,11.56,5.88,6.95,14.83,27.34,17.95,16.77
