YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1944,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,24.88,19.85,12.05,2.30,999.90,999.90,999.90,18.93,999.90
1945,1.70,4.53,8.73,16.12,20.89,25.01,30.25,30.99,25.49,20.90,10.71,999.90,2.84,15.25,28.75,19.03,16.47
1946,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1947,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1948,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1949,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1950,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1951,3.78,2.28,10.83,16.33,21.33,26.48,30.13,27.98,25.88,18.92,11.58,5.79,3.31,16.16,28.20,18.79,16.62
1952,4.28,8.19,10.94,16.38,20.89,25.79,28.59,27.54,24.59,20.18,9.69,6.25,6.09,16.07,27.31,18.15,16.90
1953,6.35,7.75,8.10,15.80,21.20,26.85,29.30,28.75,24.80,17.50,8.85,2.31,6.78,15.03,28.30,17.05,16.79
1954,4.34,5.50,9.66,15.20,22.64,27.56,28.53,28.22,24.32,18.43,10.46,5.52,4.05,15.83,28.10,17.74,16.43
1955,4.30,8.37,9.89,16.60,20.35,26.36,29.84,30.31,25.08,18.22,12.62,6.57,6.06,15.61,28.84,18.64,17.29
1956,3.54,7.14,8.33,15.39,21.24,26.44,29.78,28.24,23.79,18.19,12.19,4.44,5.75,14.99,28.15,18.06,16.74
1957,0.15,4.90,9.35,13.80,20.19,24.90,28.10,28.10,25.02,17.08,8.55,5.19,3.16,14.45,27.03,16.88,15.38
1958,4.91,6.21,12.66,18.25,21.87,27.08,29.12,28.56,24.22,18.52,6.74,5.33,5.44,17.59,28.25,16.49,16.94
1959,4.17,0.46,9.57,18.61,21.67,26.77,29.16,30.17,26.02,19.32,9.02,3.88,3.32,16.62,28.70,18.12,16.69
1960,6.23,9.53,7.38,14.18,22.53,28.03,28.98,29.93,24.93,19.13,10.93,6.38,6.55,14.70,28.98,18.33,17.14
1961,2.93,5.03,8.78,14.73,24.12,27.88,30.78,27.98,24.98,17.88,11.13,7.88,4.78,15.88,28.88,18.00,16.88
1962,4.78,7.13,13.23,14.28,21.88,25.98,30.23,27.63,23.37,18.28,9.78,6.83,6.60,16.46,27.95,17.14,17.04
1963,8.13,9.28,10.17,16.98,18.93,27.23,30.58,29.23,26.08,19.82,11.13,2.83,8.08,15.36,29.01,19.01,17.87
1964,-4.07,5.03,12.33,13.83,23.03,27.98,30.78,29.87,25.23,16.63,10.68,1.63,1.26,16.40,29.54,17.51,16.18
1965,0.38,4.97,10.03,14.78,23.12,27.23,29.68,29.33,24.13,17.88,12.53,6.58,2.33,15.98,28.75,18.18,16.31
1966,8.93,9.33,10.67,16.13,21.68,28.48,29.58,29.83,24.83,16.98,12.03,7.32,8.28,16.16,29.30,17.95,17.92
1967,4.72,3.68,8.98,13.87,21.58,25.53,29.78,29.68,24.78,17.93,11.82,5.52,5.24,14.81,28.33,18.18,16.64
1968,3.57,4.42,10.17,15.32,21.07,25.27,29.16,29.27,25.56,19.27,11.47,6.62,4.50,15.52,27.90,18.77,16.67
1969,-0.12,2.07,10.77,15.12,21.72,26.87,28.47,27.67,23.02,19.06,8.61,7.47,2.86,15.87,27.67,16.90,15.82
1970,3.27,8.57,10.62,18.47,23.17,27.67,29.17,29.72,24.37,18.77,14.27,5.32,6.44,17.42,28.85,19.14,17.96
