Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,Temp
1970,7.79,11.48,12.86,21.2,25.75,28.1,28.25,28.49,22.69,18.8,13.46,8.86,10.19,19.94,28.28,18.32,19.18
1971,4.75,10.35,15.2,20.78,25.83,28.06,28.02,26.47,20.32,16.13,13.46,10.23,7.99,20.6,27.52,16.64,18.19
1972,6.63,3.01,13.99,17.78,22.94,27.28,26.55,23.82,22.2,17.63,13.88,6.37,6.62,18.24,25.88,17.9,17.16
1973,1.51,12.23,16.06,21.64,25.58,29.19,29.04,26.88,22.39,17.08,12.52,6.75,6.7,21.09,28.37,17.33,18.37
1974,5.99,6.42,15.52,20.9,23.93,27.32,28.38,25.47,23.02,13.96,11.7,8.1,6.39,20.12,27.06,16.23,17.45
1975,6.07,9.53,13.95,17.67,24.19,26.63,28.39,26.47,22.28,16.67,11.38,7.65,7.9,18.6,27.16,16.78,17.61
1976,8.97,8.02,11.87,18.29,24.68,26.16,29.32,27.02,24.18,20.47,9.73,7.34,8.21,18.28,27.5,18.13,18.03
1977,5.65,9.54,18.14,19.96,24.45,28.78,29.39,27.41,21.21,20.66,14.17,11.02,7.51,20.85,28.53,18.68,18.89
1978,6.99,10.12,13.65,22.23,25.19,28.19,28.66,26.06,23.04,17.35,11.94,11.53,9.38,20.36,27.64,17.44,18.7
1979,7.68,9.97,12.47,22.25,22.31,27.88,29.4,25.78,22.26,20.1,10.3,8.56,9.73,19.01,27.69,17.55,18.49
1980,7.64,10.45,15.43,22.99,25.55,28.03,27.81,27.19,23.19,19.89,14.32,10.25,8.88,21.32,27.68,19.13,19.25
1981,8.77,12.16,15.86,21.89,25.29,27.33,29.13,25.82,21.61,16.29,12.89,10.4,10.39,21.01,27.43,16.93,18.94
1982,7.1,7.72,12.57,19.14,23.68,27.2,28.01,26.98,21.95,19.2,11.66,6.4,8.41,18.46,27.4,17.6,17.97
1983,7.87,9.09,12.26,17.63,25.95,28.7,30.36,29.2,25.06,17.36,13.41,7.47,7.79,18.61,29.42,18.61,18.61
1984,6.35,5.62,16.8,21.21,24.39,27.64,28.55,26.763269230769232,22.58,15.66,14.54,7.06,6.48,20.8,27.55,17.59,18.1
1985,7.97,11.91,14.18,19.34,23.28,26.97,29.09,24.4,20.94,17.52,12.24,8.89,8.98,18.93,26.82,16.9,17.91
1986,6.04,8.07,11.36,19.33,24.98,28.18,27.25,25.26,21.09,19.18,13.06,6.76,7.67,18.56,26.9,17.78,17.72
1987,8.02,11.03,16.09,20.56,24.26,25.98,27.51,27.63,24.42,16.7,12.47,9.43,8.6,20.3,27.04,17.86,18.45
1988,7.86,9.89,14.81,20.29,25.76,28.77,29.51,26.48,22.96,17.69,13.61,10.91,9.06,20.29,28.25,18.09,18.92
1989,4.34,6.34,13.51,17.29,21.84,27.67,28.48,25.46,22.11,18.25,13.85,9.56,7.2,17.55,27.2,18.07,17.5
1990,8.64,9.42,12.88,20.15,25.2,27.1,28.0,27.11,22.39,17.87,12.57,8.55,9.21,19.41,27.4,17.61,18.41
1991,7.23,8.28,12.84,19.15,24.53,27.18,27.67,25.88,22.38,16.93,12.5,10.79,8.02,18.84,26.91,17.27,17.76
1992,7.07,9.55,11.61,18.69,22.4,27.9,27.48,25.19,20.45,17.21,14.31,10.73,9.14,17.57,26.86,17.32,17.72
1993,5.86,11.53,12.98,19.39,25.09,27.2,27.34,24.87,22.49,15.08,13.85,8.94,9.37,19.15,26.47,17.14,18.03
1994,7.2,9.7,15.72,18.39,24.47,27.77,28.92,27.39,19.11,17.02,16.34,8.37,8.61,19.53,28.03,17.49,18.41
1995,7.68,9.39,12.55,19.02,23.05,27.32,29.8,27.48,22.72,18.46,12.88,7.37,8.48,18.21,28.2,18.02,18.23
1996,4.74,10.64,14.02,18.92,22.61,27.11,26.93,25.38,23.72,17.33,9.86,7.26,7.58,18.52,26.47,16.97,17.39
1997,7.57,9.64,14.21,18.07,22.7,27.6,29.17,26.75,23.37,19.27,12.07,8.77,8.16,18.33,27.84,18.24,18.14
1998,8.15,9.8,15.81,21.46,24.76,26.13,28.72,27.82,23.79,18.45,13.53,11.75,8.91,20.68,27.56,18.59,18.93
1999,7.06,11.55,14.26,20.94,24.49,28.81,29.22,26.86,23.36,19.33,14.95,7.96,10.12,19.9,28.3,19.21,19.38
2000,8.67,9.21,13.62,22.6,27.75,26.98,26.62,26.44,24.27,19.07,11.41,9.38,8.61,21.32,26.68,18.25,18.72
2001,5.82,9.3,15.01,22.21,27.06,27.97,29.24,26.38,23.76,19.38,14.03,12.42,8.17,21.43,27.86,19.06,19.13
2002,8.37,10.96,16.05,21.66,26.38,29.23,28.8,27.94,22.93,19.6,13.3,9.16,10.58,21.36,28.66,18.61,19.8
2003,8.94,12.96,15.77,21.63,23.47,28.24,29.92,26.97,22.81,19.21,12.29,8.59,10.35,20.29,28.38,18.1,19.28
2004,10.54,12.9,17.5,21.65,26.16,28.07,28.64,27.25,23.07,18.02,16.17,9.77,10.68,21.77,27.99,19.09,19.88
2005,7.79,8.63,16.25,20.47,23.53,27.95,29.38,27.25,24.41,20.26,13.57,9.91,8.73,20.08,28.19,19.41,19.11
2006,7.53,14.83,16.39,21.74,27.87,27.15,30.26,27.47,23.52,22.03,15.04,7.13,10.76,22.0,28.29,20.2,20.31
2007,6.34,11.81,15.15,22.7,25.4,27.8,28.46,25.94,21.9,15.48,16.15,8.43,8.43,21.08,27.4,17.84,18.69
2008,2.28,8.39,17.36,20.87,26.28,30.26,29.79,26.89,24.39,20.25,11.68,8.81,6.37,21.5,28.98,18.77,18.91
2009,7.34,12.3,17.28,19.02,25.62,25.86,28.48,29.21,25.74,17.86,13.56,9.32,9.48,20.64,27.85,19.05,19.26
2010,9.79,12.27,18.93,22.52,26.52,28.32,28.72,26.72,21.82,20.47,11.12,6.93,10.46,22.66,27.92,17.8,19.71
2011,7.28,7.28,15.13,21.11,27.42,30.36,29.47,28.28,24.35,19.63,15.58,5.73,7.16,21.22,29.37,19.85,19.4
2012,7.23,7.43,15.63,19.93,26.13,28.02,30.53,26.93,23.29,18.39,13.0,7.97,6.8,20.56,28.49,18.23,18.52
2013,8.08,11.33,17.23,19.84,24.94,29.84,29.09,27.54,25.12,20.04,12.44,7.24,9.13,20.67,28.82,19.2,19.45
2014,6.35,4.95,14.2,21.85,24.95,29.85,28.94,27.95,25.15,20.15,12.6,7.25,6.18,20.33,28.91,19.3,18.68
2015,10.15,13.75,13.85,22.65,26.55,28.45,29.55,27.1,22.05,21.11,12.57,8.31,10.38,21.02,28.37,18.58,19.59
2016,10.61,11.11,16.66,20.11,28.26,28.46,30.36,25.76,25.86,19.16,12.31,12.87,10.01,21.68,28.19,19.11,19.75
2017,8.39,10.04,15.87,21.52,26.92,29.42,28.87,26.02,22.77,20.67,13.62,7.97,10.43,21.44,28.1,19.02,19.75
2018,8.47,12.57,18.62,21.57,24.07,29.22,30.12,27.32,22.82,18.72,13.37,9.78,9.67,21.42,28.89,18.3,19.57
2019,10.63,9.93,14.08,21.08,24.38,27.58,30.78,27.48,24.98,20.07,10.38,9.41,10.11,19.85,28.61,18.48,19.26
2020,7.39,12.44,14.19,20.54,25.72,29.29,29.59,28.19,21.39,15.29,12.74,7.49,9.75,20.15,29.02,16.47,18.85
2021,5.99,12.94,18.79,21.59,24.54,28.74,31.04,27.19,24.59,18.04,12.19,10.05,8.81,21.64,28.99,18.27,19.43
2022,9.4,11.55,19.6,23.95,25.95,28.8,30.95,26.45,25.03,19.1,14.92,8.05,10.33,23.17,28.73,19.68,20.48
